,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,PRP,ERP
59,800,256,8000,0,1,4,20,34
60,800,256,8000,0,1,4,16,34
61,800,256,8000,0,1,4,22,34
62,125,512,1000,0,8,20,36,19
63,75,2000,8000,64,1,38,144,75
64,75,2000,16000,64,1,38,144,113
66,90,256,1000,0,3,10,17,18
67,105,256,2000,0,3,10,26,20
68,105,1000,4000,0,3,24,32,28
69,105,2000,4000,8,3,19,32,33
70,75,2000,8000,8,3,24,62,47
71,75,3000,8000,8,3,48,64,54
72,175,256,2000,0,3,24,22,20
73,300,768,3000,0,6,24,36,23
74,300,768,3000,6,6,24,44,25
75,300,768,12000,6,6,24,50,52
76,300,768,4500,0,1,24,45,27
77,300,384,12000,6,1,24,53,50
78,300,192,768,6,6,24,36,18
79,180,768,12000,6,1,31,84,53
80,330,1000,3000,0,2,4,16,23
81,300,1000,4000,8,3,64,38,30
82,300,1000,16000,8,2,112,38,73
83,330,1000,2000,0,1,2,16,20
84,330,1000,4000,0,3,6,22,25
85,140,2000,4000,0,3,6,29,28
86,140,2000,4000,0,4,8,40,29
87,140,2000,4000,8,1,20,35,32
88,140,2000,32000,32,1,20,134,175
89,140,2000,8000,32,1,54,66,57
90,140,2000,32000,32,1,54,141,181
91,140,2000,32000,32,1,54,189,181
92,140,2000,4000,8,1,20,22,32
93,57,4000,16000,1,6,12,132,82
94,57,4000,24000,64,12,16,237,171
95,26,16000,32000,64,16,24,465,361
96,26,16000,32000,64,8,24,465,350
97,26,8000,32000,0,8,24,277,220
98,26,8000,16000,0,8,16,185,113
99,480,96,512,0,1,1,6,15
100,203,1000,2000,0,1,5,24,21
101,115,512,6000,16,1,6,45,35
102,1100,512,1500,0,1,1,7,18
103,1100,768,2000,0,1,1,13,20
104,600,768,2000,0,1,1,16,20
106,400,4000,8000,0,1,1,32,45
107,900,1000,1000,0,1,2,11,18
108,900,512,1000,0,1,2,11,17
109,900,1000,4000,4,1,2,18,26
110,900,1000,4000,8,1,2,22,28
111,900,2000,4000,0,3,6,37,28
112,225,2000,4000,8,3,6,40,31
113,225,2000,4000,8,3,6,34,31
115,185,2000,16000,16,1,6,76,76
116,180,2000,16000,16,1,6,66,76
117,225,1000,4000,2,3,6,24,26
118,25,2000,12000,8,1,4,49,59
119,25,2000,12000,16,3,5,66,65
121,17,4000,16000,32,6,12,133,116
122,1500,768,1000,0,0,0,12,18
123,1500,768,2000,0,0,0,18,20
124,800,768,2000,0,0,0,20,20
125,50,2000,4000,0,3,6,27,30
126,50,2000,8000,8,3,6,45,44
127,50,2000,8000,8,1,6,56,44
129,50,2000,16000,24,1,6,80,82
130,50,8000,16000,48,1,10,136,128
131,100,1000,8000,0,2,6,16,37
134,50,2000,16000,12,3,16,45,80
135,50,2000,16000,24,6,16,54,88
136,50,2000,16000,24,6,16,65,88
137,150,512,4000,0,8,128,30,33
138,115,2000,8000,16,1,3,50,46
139,115,2000,4000,2,1,5,40,29
140,92,2000,8000,32,1,6,62,53
141,92,2000,8000,32,1,6,60,53
142,92,2000,8000,4,1,6,50,41
143,75,4000,16000,16,1,6,66,86
144,60,4000,16000,32,1,6,86,95
145,60,2000,16000,64,5,8,74,107
146,60,4000,16000,64,5,8,93,117
147,50,4000,16000,64,5,10,111,119
148,72,4000,16000,64,8,16,143,120
149,72,2000,8000,16,6,8,105,48
150,40,8000,16000,32,8,16,214,126
152,35,8000,32000,64,8,24,370,270
153,38,16000,32000,128,16,32,510,426
154,48,4000,24000,32,8,24,214,151
155,38,8000,32000,64,8,24,326,267
156,30,16000,32000,256,16,24,510,603
157,112,1000,1000,0,1,4,8,19
158,84,1000,2000,0,1,6,12,21
159,56,1000,4000,0,1,6,17,26
160,56,2000,6000,0,1,8,21,35
162,56,4000,8000,0,1,8,34,47
164,56,4000,16000,0,1,8,46,78
165,38,4000,8000,32,16,32,51,80
166,38,4000,8000,32,16,32,116,80
167,38,8000,16000,64,4,8,100,142
168,38,8000,24000,160,4,8,140,281
169,38,4000,16000,128,16,32,212,190
170,200,1000,2000,0,1,2,25,21
171,200,1000,4000,0,1,4,30,25
172,200,2000,8000,64,1,5,41,67
173,250,512,4000,0,1,7,25,24
174,250,512,4000,0,4,7,50,24
175,250,1000,16000,1,1,8,50,64
176,160,512,4000,2,1,5,30,25
177,160,512,2000,2,3,8,32,20
178,160,1000,4000,8,1,14,38,29
179,160,1000,8000,16,1,14,60,43
181,240,512,1000,8,1,3,6,19
182,240,512,2000,8,1,5,11,22
183,105,2000,4000,8,3,8,22,31
184,105,2000,6000,16,6,16,33,41
185,105,2000,8000,16,4,14,58,47
186,52,4000,16000,32,4,12,130,99
187,70,4000,12000,8,6,8,75,67
188,59,4000,12000,32,6,12,113,81
189,59,8000,16000,64,12,24,188,149
190,26,8000,24000,32,8,16,173,183
191,26,8000,32000,64,12,16,248,275
192,26,8000,32000,128,24,32,405,382
193,116,2000,8000,32,5,28,70,56
194,50,2000,32000,24,6,26,114,182
195,50,2000,32000,48,26,52,208,227
196,50,2000,32000,112,52,104,307,341
197,50,4000,32000,112,52,104,397,360
198,30,8000,64000,96,12,176,915,919
199,30,8000,64000,128,12,176,1150,978
200,180,262,4000,0,1,3,12,24
201,180,512,4000,0,1,3,14,24
202,180,262,4000,0,1,3,18,24
203,180,512,4000,0,1,3,21,24
204,124,1000,8000,0,1,8,42,37
205,98,1000,8000,32,2,8,46,50
206,125,2000,8000,0,2,14,52,41
207,480,512,8000,32,0,0,67,47
