,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,class
68,-1.816,0.4579999999999999,-0.947,-0.341,0.085,0.75,0.144,0.462,-0.24,-0.266,2
69,-1.954,1.595,-1.5930000000000002,0.37,-0.136,0.022,0.034,0.321,-0.19,-0.491,3
70,-2.654,2.39,-0.008,0.07,-1.063,0.304,-0.105,0.281,0.488,-0.382,4
71,-2.321,1.3030000000000002,0.32,-0.085,-0.278,0.001,-0.094,-0.283,0.852,0.022,5
72,-3.141,3.314,-0.996,-0.3939999999999999,-0.19,-0.312,0.1369999999999999,0.631,0.547,-0.247,6
73,-3.941,3.353,0.486,-0.506,-1.12,0.1009999999999999,0.297,0.711,-0.078,0.648,7
74,-4.1610000000000005,2.937,0.157,0.336,-0.968,0.6409999999999999,0.088,0.237,0.565,0.823,8
75,-4.52,2.231,-0.088,0.513,-0.528,1.246,0.198,0.242,0.161,0.769,9
76,-3.088,1.389,0.048,-0.216,-0.3289999999999999,0.91,0.045,-0.075,0.1009999999999999,-0.134,10
78,-1.6569999999999998,0.0559999999999999,-1.044,-0.32,-0.316,1.321,0.638,0.8,0.298,-0.159,1
79,-1.709,0.486,-0.953,-0.346,0.02,0.7859999999999999,0.145,0.564,-0.2289999999999999,-0.322,2
80,-1.952,1.469,-1.375,0.105,-0.154,0.17,-0.047,0.336,-0.098,-0.41,3
81,-2.67,2.696,-0.231,-0.0279999999999999,-1.014,0.486,-0.1369999999999999,0.4479999999999999,0.285,-0.482,4
82,-2.441,1.415,0.386,-0.335,-0.187,-0.079,-0.0,-0.175,0.792,-0.026,5
83,-3.1460000000000004,3.076,-0.6829999999999999,-0.032,-0.693,-0.06,-0.267,0.476,0.982,-0.352,6
84,-3.902,3.5860000000000003,0.3339999999999999,-0.669,-1.087,0.255,0.461,0.812,-0.185,0.535,7
85,-4.267,3.01,0.172,0.0279999999999999,-0.8270000000000001,0.532,0.099,0.326,0.34,0.696,8
86,-4.65,2.455,0.013,0.6809999999999999,-0.8,1.4340000000000002,0.126,0.036,0.382,0.278,9
87,-3.03,1.185,0.314,-0.121,-0.591,0.965,0.353,-0.1369999999999999,-0.221,0.075,10
88,-4.473,0.373,0.858,0.919,0.778,1.272,0.653,-0.216,-0.8909999999999999,-0.627,0
89,-1.856,0.063,-1.011,-0.238,-0.152,1.461,0.5720000000000001,0.775,0.154,-0.31,1
90,-1.976,0.389,-0.947,-0.25,-0.065,0.949,0.127,0.478,-0.3229999999999999,-0.345,2
91,-1.914,1.473,-1.342,-0.013,-0.213,0.253,0.005,0.2289999999999999,-0.009,-0.445,3
92,-2.7,2.83,-0.389,0.032,-0.958,0.44,-0.168,0.519,0.1689999999999999,-0.525,4
93,-2.5540000000000003,1.117,0.42,-0.022,-0.645,0.02,0.145,-0.327,0.66,0.073,5
94,-3.054,3.104,-0.513,-0.085,-0.952,0.299,-0.2689999999999999,0.4589999999999999,0.892,-0.308,6
95,-3.84,3.745,0.121,-0.6559999999999999,-1.0659999999999998,0.3289999999999999,0.7340000000000001,0.875,-0.295,0.418,7
96,-4.323,2.853,0.385,0.209,-1.096,0.431,0.119,0.268,0.131,0.654,8
98,-2.922,1.516,-0.002,-0.353,-0.4639999999999999,1.1840000000000002,0.3829999999999999,-0.175,-0.346,-0.033,10
99,-4.477,0.246,1.087,1.108,0.682,1.057,0.424,-0.264,-1.195,-0.52,0
100,-1.895,-0.012,-0.97,-0.152,-0.161,1.509,0.487,0.809,0.044,-0.264,1
101,-1.945,0.352,-1.053,-0.228,-0.12,0.927,0.088,0.509,-0.2789999999999999,-0.246,2
102,-1.912,1.554,-1.455,-0.017,-0.118,0.27,-0.037,0.163,-0.027,-0.474,3
103,-2.724,2.998,-0.56,-0.077,-0.944,0.5479999999999999,-0.08,0.4,0.144,-0.63,4
104,-2.385,1.241,0.272,-0.04,-0.6920000000000001,0.16,-0.061,-0.1889999999999999,0.7440000000000001,0.088,5
105,-3.092,3.014,-0.307,-0.016,-0.956,0.195,-0.2269999999999999,0.367,0.958,-0.092,6
106,-3.917,3.4960000000000004,0.409,-0.531,-1.15,0.017,0.605,0.977,-0.3279999999999999,0.447,7
107,-4.232,3.035,0.428,0.497,-1.374,0.5489999999999999,0.133,0.2319999999999999,0.129,0.487,8
109,-2.945,1.724,-0.312,-0.239,-0.447,1.36,0.0139999999999999,-0.102,0.021,-0.564,10
110,-4.314,-0.106,1.044,1.192,0.687,0.763,0.158,-0.193,-1.342,-0.447,0
111,-2.05,0.065,-0.938,-0.037,0.0819999999999999,1.561,0.3929999999999999,0.835,-0.0289999999999999,-0.3939999999999999,1
112,-1.804,0.431,-1.0,-0.427,-0.094,0.848,0.084,0.636,-0.275,-0.214,2
113,-1.978,1.5419999999999998,-1.487,-0.096,-0.025,0.32,-0.063,0.0969999999999999,-0.073,-0.381,3
114,-2.748,3.217,-0.976,-0.213,-0.792,0.7709999999999999,-0.032,0.223,0.043,-0.825,4
115,-2.351,1.53,0.086,-0.075,-0.426,0.125,-0.1969999999999999,0.033,0.848,-0.038,5
116,-3.105,2.9160000000000004,-0.207,0.031,-0.897,0.021,-0.2289999999999999,0.256,1.073,-0.065,6
117,-3.985,3.614,0.584,-0.42,-1.105,-0.174,0.348,0.885,-0.165,0.65,7
118,-4.16,3.329,0.275,0.3939999999999999,-1.287,0.693,0.483,0.121,0.286,0.153,8
119,-4.88,3.064,0.06,0.434,-0.575,0.897,0.25,0.085,0.093,0.445,9
120,-3.082,1.633,-0.118,-0.147,-0.484,1.176,-0.086,-0.072,0.086,-0.564,10
121,-4.158,-0.342,0.9,1.09,0.56,0.955,0.395,-0.3279999999999999,-1.52,-0.498,0
123,-1.672,0.3279999999999999,-0.833,-0.5770000000000001,-0.363,0.84,0.18,0.682,-0.124,-0.109,2
124,-2.051,1.508,-1.641,-0.0579999999999999,-0.102,0.346,-0.021,0.109,-0.147,-0.298,3
125,-2.7880000000000003,3.194,-1.142,-0.313,-0.58,0.357,0.281,0.0819999999999999,0.109,-0.858,4
126,-2.489,1.773,-0.18,-0.152,-0.353,0.133,-0.186,0.207,0.7879999999999999,-0.285,5
127,-3.065,3.139,-0.461,-0.221,-0.759,-0.045,0.068,0.2739999999999999,0.999,-0.331,6
128,-3.963,3.938,0.466,-0.564,-1.042,-0.064,0.241,0.888,-0.032,0.7979999999999999,7
129,-4.136,3.582,-0.407,-0.038,-0.687,1.031,0.491,0.157,0.305,0.0279999999999999,8
130,-4.944,3.325,0.015,0.079,-0.593,1.047,0.337,0.296,-0.4529999999999999,0.371,9
131,-3.0580000000000003,1.6780000000000002,-0.351,-0.255,0.038,0.6920000000000001,-0.173,0.226,0.2019999999999999,-0.593,10
132,-1.202,-0.253,-2.487,0.809,-0.367,2.169,0.32,1.034,-1.385,-0.706,0
133,-1.077,0.511,-2.006,0.305,-0.584,1.962,0.089,1.406,-0.669,-0.027,1
134,-1.768,0.7859999999999999,-1.4680000000000002,1.077,-0.347,1.704,-0.171,1.0759999999999998,-0.691,-0.06,2
135,-1.737,1.789,-1.046,1.071,-0.775,1.041,-0.025,0.925,-0.452,0.0069999999999999,3
136,-2.432,2.126,-0.218,1.422,-1.169,0.41,-0.3929999999999999,1.3259999999999998,-0.067,0.225,4
137,-2.125,1.952,-0.415,1.4580000000000002,-0.985,0.52,-0.344,1.249,-0.37,0.145,5
138,-2.607,2.406,-0.088,1.586,-1.477,0.1639999999999999,-0.527,1.551,0.033,0.522,6
139,-3.813,3.705,-0.157,1.561,-1.503,-0.366,-0.581,1.412,0.29,-0.099,7
140,-3.05,1.6,-0.6859999999999999,1.543,-1.149,-0.043,0.297,0.727,0.598,0.4579999999999999,8
141,-3.972,2.279,-0.62,0.954,-1.09,0.7190000000000001,0.7170000000000001,0.3,1.3090000000000002,0.171,9
143,-1.298,-0.295,-2.4330000000000003,0.955,-0.278,2.252,0.285,0.915,-1.569,-0.562,0
144,-1.012,0.516,-2.041,0.32,-0.634,1.969,0.0409999999999999,1.414,-0.687,0.047,1
145,-1.501,0.847,-1.619,0.92,-0.488,1.616,-0.161,1.127,-0.613,-0.051,2
146,-1.6740000000000002,1.711,-1.04,1.136,-0.8690000000000001,1.036,-0.157,0.946,-0.361,0.02,3
147,-2.3080000000000003,2.023,-0.203,1.493,-1.223,0.379,-0.481,1.403,-0.045,0.402,4
148,-2.155,2.027,-0.3929999999999999,1.354,-1.045,0.6459999999999999,-0.246,1.279,-0.396,0.177,5
149,-2.652,2.156,-0.053,1.694,-1.258,0.062,-0.61,1.3969999999999998,0.133,0.602,6
150,-3.834,3.749,-0.183,1.518,-1.585,-0.281,-0.3339999999999999,1.1909999999999998,0.425,-0.104,7
151,-3.33,1.529,-0.552,2.023,-0.845,0.016,0.049,0.512,0.396,0.386,8
152,-4.17,2.232,-0.389,1.211,-1.011,0.57,0.5429999999999999,0.218,1.206,0.044,9
153,-2.867,1.391,-0.8170000000000001,1.595,-0.883,1.143,-0.427,1.159,0.17,-0.456,10
154,-1.393,-0.305,-2.29,1.1,-0.254,2.327,0.363,0.795,-1.521,-0.7559999999999999,0
155,-0.941,0.539,-2.02,0.314,-0.679,1.897,0.0279999999999999,1.504,-0.632,0.111,1
156,-1.332,0.848,-1.665,0.97,-0.4629999999999999,1.5219999999999998,-0.159,1.101,-0.541,-0.05,2
157,-1.57,1.655,-1.04,1.16,-0.923,0.961,-0.231,0.955,-0.273,0.065,3
158,-2.227,1.993,-0.156,1.554,-1.19,0.332,-0.5479999999999999,1.362,-0.013,0.369,4
159,-2.043,1.95,-0.435,1.341,-1.0490000000000002,0.5579999999999999,-0.237,1.237,-0.283,0.306,5
160,-2.679,1.731,-0.09,2.003,-1.009,0.038,-0.8220000000000001,1.232,0.128,0.72,6
161,-3.836,3.699,-0.225,1.52,-1.729,-0.184,0.064,0.97,0.5,-0.13,7
162,-3.478,1.703,-0.557,2.191,-1.043,0.3389999999999999,-0.004,0.5870000000000001,0.45,0.006,8
163,-4.333,2.438,-0.2189999999999999,1.372,-0.7609999999999999,0.306,0.594,-0.022,1.103,0.19,9
164,-2.704,1.285,-0.908,1.57,-0.84,1.044,-0.3989999999999999,0.951,0.345,-0.695,10
165,-1.4169999999999998,-0.319,-2.254,1.072,-0.221,2.268,0.43,0.923,-1.486,-0.698,0
166,-0.961,0.514,-1.951,0.364,-0.68,1.895,0.047,1.539,-0.63,0.094,1
167,-1.22,0.831,-1.6740000000000002,0.94,-0.425,1.463,-0.063,1.135,-0.422,0.06,2
168,-1.501,1.611,-1.003,1.156,-0.883,0.901,-0.1689999999999999,0.862,-0.151,0.1639999999999999,3
169,-2.176,1.952,-0.144,1.659,-1.128,0.28,-0.6579999999999999,1.346,0.008,0.505,4
170,-1.891,1.776,-0.518,1.461,-1.05,0.5670000000000001,-0.307,1.152,-0.239,0.325,5
171,-2.624,1.653,-0.156,2.023,-1.052,0.086,-0.752,1.341,0.196,0.71,6
172,-3.763,3.252,-0.262,1.52,-1.6840000000000002,-0.225,0.235,0.989,0.616,0.046,7
173,-3.549,1.905,-0.509,1.963,-1.2,0.847,-0.157,0.8420000000000001,0.625,-0.586,8
174,-4.373,2.463,-0.171,1.501,-0.639,0.292,0.518,-0.114,1.127,0.332,9
176,-1.384,-0.321,-2.266,0.937,-0.289,2.29,0.4629999999999999,1.096,-1.436,-0.701,0
177,-1.123,0.415,-1.954,0.563,-0.465,1.983,0.027,1.614,-0.568,0.0069999999999999,1
178,-1.28,0.7979999999999999,-1.6469999999999998,0.968,-0.418,1.609,-0.031,1.224,-0.374,0.044,2
179,-1.475,1.557,-1.009,1.202,-0.846,0.883,-0.138,0.8220000000000001,-0.165,0.198,3
180,-2.205,1.804,-0.1989999999999999,1.773,-1.089,0.312,-0.621,1.247,0.1369999999999999,0.406,4
181,-1.824,1.682,-0.669,1.483,-1.036,0.711,-0.249,1.193,-0.2739999999999999,0.2239999999999999,5
182,-2.574,1.814,-0.1669999999999999,1.826,-1.156,0.12,-0.609,1.543,0.11,0.75,6
183,-3.693,3.067,-0.273,1.619,-1.905,0.045,0.006,1.347,0.346,0.36,7
184,-3.545,1.926,-0.512,1.732,-1.109,1.006,0.021,0.82,0.731,-0.639,8
185,-4.386,2.271,-0.157,1.536,-0.614,0.23,0.57,-0.1169999999999999,1.074,0.397,9
186,-2.53,1.492,-0.936,1.21,-1.154,1.3159999999999998,-0.267,1.149,0.226,-0.77,10
187,-1.215,-0.288,-2.423,0.8340000000000001,-0.379,2.266,0.503,1.337,-1.36,-0.682,0
188,-1.4,0.316,-1.894,0.83,-0.242,2.0380000000000003,0.003,1.6669999999999998,-0.515,-0.087,1
189,-1.494,0.6629999999999999,-1.58,1.1909999999999998,-0.252,1.777,-0.072,1.189,-0.409,0.09,2
190,-1.5119999999999998,1.492,-1.053,1.262,-0.809,0.941,-0.122,0.807,-0.206,0.145,3
191,-2.274,1.653,-0.226,1.857,-0.971,0.327,-0.605,1.121,0.121,0.291,4
192,-1.804,1.556,-0.8029999999999999,1.388,-0.989,0.7509999999999999,-0.0289999999999999,0.963,-0.228,0.297,5
193,-2.447,1.914,-0.208,1.641,-1.159,0.104,-0.539,1.58,0.0579999999999999,0.7859999999999999,6
194,-3.675,3.132,-0.241,1.587,-1.75,-0.222,0.039,1.052,0.545,0.233,7
195,-3.425,1.724,-0.638,1.5730000000000002,-1.041,1.204,-0.124,1.258,0.5479999999999999,-0.507,8
197,-2.52,1.52,-0.959,1.296,-1.103,1.149,-0.268,1.249,0.092,-0.682,10
198,-1.548,-0.4,-1.659,0.244,-0.1009999999999999,1.5619999999999998,0.551,1.248,0.129,-0.456,0
199,-1.614,0.287,-1.195,-0.252,-0.257,1.251,0.281,0.898,0.188,-0.423,1
200,-1.891,0.988,-1.06,0.119,0.59,0.263,0.372,0.39,-0.376,-0.655,2
201,-2.03,1.764,-0.386,-0.249,0.18,0.1169999999999999,0.096,-0.121,0.067,-0.552,3
202,-2.55,2.629,0.084,-0.159,-0.882,0.093,-0.19,0.961,0.032,-0.589,4
203,-2.464,1.968,0.026,0.078,-0.542,0.074,0.051,0.596,0.26,-0.437,5
204,-3.193,2.026,0.83,0.813,-1.205,0.036,-0.95,0.7859999999999999,1.045,0.21,6
205,-3.5660000000000003,1.504,0.94,1.829,-1.224,0.178,-1.454,0.92,0.767,1.0590000000000002,7
206,-3.299,1.73,0.187,0.121,-1.251,0.7959999999999999,-0.366,1.091,0.493,0.436,8
207,-3.6010000000000004,0.742,-0.238,0.332,-0.561,1.275,-0.0139999999999999,0.8440000000000001,0.5579999999999999,0.659,9
208,-2.439,0.789,0.0819999999999999,0.242,-0.693,0.595,-0.353,0.7020000000000001,0.413,0.098,10
209,-1.507,-0.457,-1.7280000000000002,0.256,-0.081,1.571,0.556,1.291,0.121,-0.456,0
210,-1.425,0.256,-1.13,-0.284,-0.3939999999999999,1.253,0.306,0.893,0.272,-0.3779999999999999,1
211,-1.814,0.923,-0.931,0.12,0.425,0.5539999999999999,0.237,0.426,-0.184,-0.727,2
212,-2.007,1.814,-0.581,-0.027,0.127,0.081,0.089,-0.016,0.115,-0.7190000000000001,3
213,-2.559,2.3,0.408,-0.001,-1.077,0.125,-0.254,0.975,0.07,-0.47,4
216,-3.565,1.3630000000000002,0.958,1.976,-1.268,0.091,-1.3630000000000002,0.72,0.738,1.145,7
217,-3.198,1.3730000000000002,0.392,0.423,-1.203,0.6559999999999999,-0.428,0.994,0.5760000000000001,0.865,8
218,-3.772,0.904,-0.195,0.317,-0.473,1.31,-0.043,0.898,0.536,0.503,9
219,-2.434,0.87,0.127,0.2239999999999999,-0.8109999999999999,0.6659999999999999,-0.233,0.705,0.408,0.136,10
220,-1.656,-0.496,-1.719,0.363,-0.002,1.6369999999999998,0.535,1.319,-0.012,-0.49,0
221,-1.388,0.215,-1.105,-0.295,-0.39,1.2819999999999998,0.356,0.816,0.292,-0.376,1
222,-1.764,0.888,-1.001,0.1969999999999999,0.3,0.66,0.159,0.557,-0.301,-0.65,2
223,-2.026,1.75,-0.526,-0.131,0.266,-0.055,0.084,0.063,0.047,-0.691,3
224,-2.531,1.802,0.7390000000000001,0.236,-1.169,-0.069,-0.349,0.903,0.123,-0.119,4
225,-2.375,1.642,0.308,0.255,-0.82,0.225,-0.092,0.8740000000000001,0.367,-0.525,5
226,-3.179,1.346,0.988,1.32,-0.852,-0.008,-1.234,0.347,1.02,0.7709999999999999,6
227,-3.57,1.366,0.97,1.957,-1.262,0.002,-1.275,0.585,0.754,0.993,7
228,-3.169,1.041,0.509,0.693,-1.185,0.6729999999999999,-0.352,0.877,0.434,1.009,8
229,-4.066,1.05,-0.049,0.4579999999999999,-0.357,1.331,-0.129,0.848,0.509,0.317,9
230,-2.483,0.81,0.185,0.284,-0.917,0.73,-0.111,0.613,0.373,0.184,10
232,-1.45,0.1989999999999999,-1.127,-0.281,-0.372,1.287,0.369,0.855,0.303,-0.385,1
233,-1.79,0.7929999999999999,-1.041,0.214,0.215,0.6940000000000001,0.121,0.583,-0.4029999999999999,-0.487,2
234,-2.089,1.695,-0.528,-0.2319999999999999,0.385,-0.1369999999999999,0.033,0.071,0.033,-0.7440000000000001,3
235,-2.475,1.4980000000000002,0.8640000000000001,0.397,-1.17,-0.2339999999999999,-0.3879999999999999,0.825,0.16,0.057,4
237,-3.062,1.008,0.935,1.443,-0.579,0.068,-1.3330000000000002,0.106,0.958,0.979,6
238,-3.576,1.357,0.912,1.878,-1.166,0.039,-1.537,0.6579999999999999,0.843,1.087,7
239,-3.155,1.021,0.455,0.624,-1.306,0.8420000000000001,-0.123,0.909,0.3279999999999999,0.8759999999999999,8
240,-4.316,1.147,0.088,0.593,-0.314,1.3159999999999998,-0.255,0.7609999999999999,0.492,0.133,9
241,-2.608,0.8390000000000001,0.203,0.305,-0.851,0.78,-0.143,0.607,0.344,0.106,10
242,-1.953,-0.596,-1.543,0.619,0.0559999999999999,1.742,0.5920000000000001,1.289,-0.163,-0.523,0
243,-1.495,0.1169999999999999,-1.134,-0.249,-0.37,1.286,0.348,0.8540000000000001,0.313,-0.376,1
244,-1.921,0.7190000000000001,-0.95,0.299,0.222,0.7859999999999999,0.128,0.588,-0.462,-0.491,2
245,-2.052,1.483,-0.488,0.0409999999999999,-0.131,0.273,-0.1119999999999999,-0.064,0.307,-0.8,3
246,-2.507,1.528,0.852,0.331,-1.231,-0.259,-0.265,0.856,0.07,0.069,4
247,-2.291,1.146,0.352,0.354,-0.7140000000000001,0.08,-0.181,0.787,0.7090000000000001,-0.409,5
248,-2.9330000000000003,0.7170000000000001,0.8290000000000001,1.508,-0.517,0.069,-1.163,0.021,0.866,1.0659999999999998,6
250,-3.145,0.863,0.416,0.6990000000000001,-1.378,0.892,0.02,0.89,0.221,0.8340000000000001,8
253,-2.0580000000000003,-0.61,-1.497,0.696,0.072,1.802,0.626,1.3030000000000002,-0.192,-0.5379999999999999,0
254,-1.537,0.043,-1.125,-0.213,-0.3779999999999999,1.265,0.33,0.87,0.293,-0.3929999999999999,1
256,-2.076,1.413,-0.584,0.19,-0.35,0.518,-0.406,0.313,0.027,-0.7240000000000001,3
257,-2.5540000000000003,1.5319999999999998,0.812,0.367,-1.208,-0.352,-0.252,0.894,0.05,0.084,4
258,-2.343,0.7879999999999999,0.373,0.492,-0.667,0.2789999999999999,-0.24,0.8270000000000001,0.589,-0.267,5
259,-2.834,0.654,0.733,1.4340000000000002,-0.716,-0.0279999999999999,-0.841,0.239,0.92,0.885,6
260,-3.482,1.127,0.899,1.993,-1.385,-0.05,-1.273,0.647,0.8440000000000001,1.044,7
261,-3.2460000000000004,0.7120000000000001,0.39,0.82,-1.352,1.074,0.1969999999999999,0.857,-0.0559999999999999,0.485,8
263,-2.804,1.021,0.254,0.331,-0.654,0.8540000000000001,-0.085,0.6779999999999999,0.259,-0.031,10
264,-3.034,-1.274,0.263,1.521,0.66,1.622,-0.361,-0.4679999999999999,-0.74,0.517,0
265,-3.1180000000000003,0.356,0.377,1.4469999999999998,0.868,0.407,-0.915,-0.546,-0.637,0.1689999999999999,1
266,-2.611,0.434,0.231,1.3430000000000002,0.3229999999999999,-0.3779999999999999,-0.618,-0.2189999999999999,-0.285,0.347,2
267,-1.5659999999999998,0.93,-0.181,-0.155,-0.1639999999999999,-0.2769999999999999,0.144,-0.047,-0.6940000000000001,0.282,3
268,-2.758,2.067,-0.31,-0.5429999999999999,-0.687,0.091,0.8809999999999999,0.172,-0.4539999999999999,-0.093,4
269,-2.497,1.607,-0.621,-0.446,-0.226,-0.152,1.16,0.122,-0.809,0.495,5
270,-3.533,2.319,1.085,0.247,-1.053,-0.429,-0.026,1.305,-0.243,-0.6709999999999999,6
