,L-Weight,L-Distance,R-Weight,R-Distance,class
152,2,2,1,3,L
153,2,2,1,4,B
154,2,2,1,5,R
155,2,2,2,1,L
156,2,2,2,2,B
158,2,2,2,4,R
159,2,2,2,5,R
160,2,2,3,1,L
161,2,2,3,2,R
163,2,2,3,4,R
164,2,2,3,5,R
165,2,2,4,1,B
166,2,2,4,2,R
167,2,2,4,3,R
168,2,2,4,4,R
169,2,2,4,5,R
170,2,2,5,1,R
171,2,2,5,2,R
172,2,2,5,3,R
173,2,2,5,4,R
174,2,2,5,5,R
175,2,3,1,1,L
176,2,3,1,2,L
177,2,3,1,3,L
178,2,3,1,4,L
179,2,3,1,5,L
180,2,3,2,1,L
181,2,3,2,2,L
182,2,3,2,3,B
183,2,3,2,4,R
184,2,3,2,5,R
185,2,3,3,1,L
186,2,3,3,2,B
188,2,3,3,4,R
189,2,3,3,5,R
190,2,3,4,1,L
191,2,3,4,2,R
192,2,3,4,3,R
193,2,3,4,4,R
195,2,3,5,1,L
196,2,3,5,2,R
197,2,3,5,3,R
198,2,3,5,4,R
199,2,3,5,5,R
201,2,4,1,2,L
203,2,4,1,4,L
204,2,4,1,5,L
207,2,4,2,3,L
208,2,4,2,4,B
209,2,4,2,5,R
212,2,4,3,3,R
214,2,4,3,5,R
215,2,4,4,1,L
216,2,4,4,2,B
217,2,4,4,3,R
218,2,4,4,4,R
219,2,4,4,5,R
220,2,4,5,1,L
221,2,4,5,2,R
222,2,4,5,3,R
223,2,4,5,4,R
224,2,4,5,5,R
225,2,5,1,1,L
226,2,5,1,2,L
227,2,5,1,3,L
228,2,5,1,4,L
229,2,5,1,5,L
230,2,5,2,1,L
231,2,5,2,2,L
232,2,5,2,3,L
233,2,5,2,4,L
234,2,5,2,5,B
236,2,5,3,2,L
237,2,5,3,3,L
238,2,5,3,4,R
239,2,5,3,5,R
240,2,5,4,1,L
241,2,5,4,2,L
242,2,5,4,3,R
243,2,5,4,4,R
244,2,5,4,5,R
246,2,5,5,2,B
247,2,5,5,3,R
248,2,5,5,4,R
251,3,1,1,2,L
252,3,1,1,3,B
253,3,1,1,4,R
254,3,1,1,5,R
255,3,1,2,1,L
256,3,1,2,2,R
257,3,1,2,3,R
258,3,1,2,4,R
259,3,1,2,5,R
260,3,1,3,1,B
261,3,1,3,2,R
262,3,1,3,3,R
263,3,1,3,4,R
264,3,1,3,5,R
265,3,1,4,1,R
266,3,1,4,2,R
267,3,1,4,3,R
268,3,1,4,4,R
269,3,1,4,5,R
270,3,1,5,1,R
271,3,1,5,2,R
272,3,1,5,3,R
273,3,1,5,4,R
274,3,1,5,5,R
275,3,2,1,1,L
276,3,2,1,2,L
277,3,2,1,3,L
280,3,2,2,1,L
281,3,2,2,2,L
282,3,2,2,3,B
283,3,2,2,4,R
284,3,2,2,5,R
285,3,2,3,1,L
286,3,2,3,2,B
287,3,2,3,3,R
288,3,2,3,4,R
289,3,2,3,5,R
290,3,2,4,1,L
291,3,2,4,2,R
292,3,2,4,3,R
293,3,2,4,4,R
294,3,2,4,5,R
295,3,2,5,1,L
296,3,2,5,2,R
297,3,2,5,3,R
298,3,2,5,4,R
300,3,3,1,1,L
301,3,3,1,2,L
302,3,3,1,3,L
303,3,3,1,4,L
304,3,3,1,5,L
305,3,3,2,1,L
306,3,3,2,2,L
307,3,3,2,3,L
308,3,3,2,4,L
309,3,3,2,5,R
310,3,3,3,1,L
311,3,3,3,2,L
312,3,3,3,3,B
314,3,3,3,5,R
316,3,3,4,2,L
317,3,3,4,3,R
318,3,3,4,4,R
319,3,3,4,5,R
321,3,3,5,2,R
322,3,3,5,3,R
323,3,3,5,4,R
324,3,3,5,5,R
325,3,4,1,1,L
326,3,4,1,2,L
327,3,4,1,3,L
328,3,4,1,4,L
329,3,4,1,5,L
330,3,4,2,1,L
331,3,4,2,2,L
332,3,4,2,3,L
333,3,4,2,4,L
335,3,4,3,1,L
336,3,4,3,2,L
337,3,4,3,3,L
338,3,4,3,4,B
340,3,4,4,1,L
341,3,4,4,2,L
342,3,4,4,3,B
343,3,4,4,4,R
344,3,4,4,5,R
345,3,4,5,1,L
346,3,4,5,2,L
347,3,4,5,3,R
349,3,4,5,5,R
350,3,5,1,1,L
352,3,5,1,3,L
353,3,5,1,4,L
354,3,5,1,5,L
355,3,5,2,1,L
357,3,5,2,3,L
358,3,5,2,4,L
359,3,5,2,5,L
360,3,5,3,1,L
362,3,5,3,3,L
364,3,5,3,5,B
365,3,5,4,1,L
366,3,5,4,2,L
367,3,5,4,3,L
368,3,5,4,4,R
369,3,5,4,5,R
370,3,5,5,1,L
371,3,5,5,2,L
372,3,5,5,3,B
373,3,5,5,4,R
374,3,5,5,5,R
375,4,1,1,1,L
376,4,1,1,2,L
377,4,1,1,3,L
378,4,1,1,4,B
379,4,1,1,5,R
380,4,1,2,1,L
381,4,1,2,2,B
382,4,1,2,3,R
383,4,1,2,4,R
384,4,1,2,5,R
385,4,1,3,1,L
386,4,1,3,2,R
387,4,1,3,3,R
388,4,1,3,4,R
389,4,1,3,5,R
390,4,1,4,1,B
391,4,1,4,2,R
392,4,1,4,3,R
393,4,1,4,4,R
394,4,1,4,5,R
395,4,1,5,1,R
396,4,1,5,2,R
397,4,1,5,3,R
398,4,1,5,4,R
399,4,1,5,5,R
400,4,2,1,1,L
401,4,2,1,2,L
403,4,2,1,4,L
404,4,2,1,5,L
405,4,2,2,1,L
406,4,2,2,2,L
407,4,2,2,3,L
408,4,2,2,4,B
409,4,2,2,5,R
410,4,2,3,1,L
411,4,2,3,2,L
412,4,2,3,3,R
413,4,2,3,4,R
414,4,2,3,5,R
415,4,2,4,1,L
416,4,2,4,2,B
417,4,2,4,3,R
418,4,2,4,4,R
419,4,2,4,5,R
420,4,2,5,1,L
421,4,2,5,2,R
422,4,2,5,3,R
423,4,2,5,4,R
424,4,2,5,5,R
426,4,3,1,2,L
428,4,3,1,4,L
430,4,3,2,1,L
431,4,3,2,2,L
432,4,3,2,3,L
433,4,3,2,4,L
434,4,3,2,5,L
435,4,3,3,1,L
437,4,3,3,3,L
438,4,3,3,4,B
439,4,3,3,5,R
440,4,3,4,1,L
441,4,3,4,2,L
442,4,3,4,3,B
443,4,3,4,4,R
444,4,3,4,5,R
445,4,3,5,1,L
446,4,3,5,2,L
447,4,3,5,3,R
448,4,3,5,4,R
449,4,3,5,5,R
450,4,4,1,1,L
451,4,4,1,2,L
453,4,4,1,4,L
454,4,4,1,5,L
456,4,4,2,2,L
457,4,4,2,3,L
458,4,4,2,4,L
459,4,4,2,5,L
460,4,4,3,1,L
461,4,4,3,2,L
462,4,4,3,3,L
463,4,4,3,4,L
464,4,4,3,5,L
466,4,4,4,2,L
467,4,4,4,3,L
468,4,4,4,4,B
469,4,4,4,5,R
470,4,4,5,1,L
471,4,4,5,2,L
472,4,4,5,3,L
473,4,4,5,4,R
475,4,5,1,1,L
476,4,5,1,2,L
477,4,5,1,3,L
478,4,5,1,4,L
480,4,5,2,1,L
481,4,5,2,2,L
482,4,5,2,3,L
484,4,5,2,5,L
485,4,5,3,1,L
486,4,5,3,2,L
487,4,5,3,3,L
488,4,5,3,4,L
489,4,5,3,5,L
490,4,5,4,1,L
491,4,5,4,2,L
492,4,5,4,3,L
493,4,5,4,4,L
494,4,5,4,5,B
496,4,5,5,2,L
497,4,5,5,3,L
498,4,5,5,4,B
500,5,1,1,1,L
501,5,1,1,2,L
502,5,1,1,3,L
503,5,1,1,4,L
504,5,1,1,5,B
505,5,1,2,1,L
507,5,1,2,3,R
508,5,1,2,4,R
509,5,1,2,5,R
510,5,1,3,1,L
512,5,1,3,3,R
513,5,1,3,4,R
515,5,1,4,1,L
517,5,1,4,3,R
518,5,1,4,4,R
519,5,1,4,5,R
520,5,1,5,1,B
521,5,1,5,2,R
522,5,1,5,3,R
523,5,1,5,4,R
524,5,1,5,5,R
525,5,2,1,1,L
526,5,2,1,2,L
527,5,2,1,3,L
528,5,2,1,4,L
529,5,2,1,5,L
530,5,2,2,1,L
531,5,2,2,2,L
532,5,2,2,3,L
533,5,2,2,4,L
534,5,2,2,5,B
535,5,2,3,1,L
536,5,2,3,2,L
537,5,2,3,3,L
538,5,2,3,4,R
539,5,2,3,5,R
540,5,2,4,1,L
541,5,2,4,2,L
542,5,2,4,3,R
543,5,2,4,4,R
544,5,2,4,5,R
546,5,2,5,2,B
549,5,2,5,5,R
550,5,3,1,1,L
551,5,3,1,2,L
552,5,3,1,3,L
553,5,3,1,4,L
554,5,3,1,5,L
555,5,3,2,1,L
556,5,3,2,2,L
557,5,3,2,3,L
558,5,3,2,4,L
559,5,3,2,5,L
560,5,3,3,1,L
561,5,3,3,2,L
562,5,3,3,3,L
563,5,3,3,4,L
564,5,3,3,5,B
565,5,3,4,1,L
566,5,3,4,2,L
567,5,3,4,3,L
568,5,3,4,4,R
569,5,3,4,5,R
570,5,3,5,1,L
571,5,3,5,2,L
572,5,3,5,3,B
573,5,3,5,4,R
574,5,3,5,5,R
575,5,4,1,1,L
576,5,4,1,2,L
577,5,4,1,3,L
578,5,4,1,4,L
579,5,4,1,5,L
580,5,4,2,1,L
581,5,4,2,2,L
583,5,4,2,4,L
584,5,4,2,5,L
585,5,4,3,1,L
586,5,4,3,2,L
587,5,4,3,3,L
588,5,4,3,4,L
589,5,4,3,5,L
590,5,4,4,1,L
591,5,4,4,2,L
592,5,4,4,3,L
593,5,4,4,4,L
594,5,4,4,5,B
595,5,4,5,1,L
596,5,4,5,2,L
597,5,4,5,3,L
598,5,4,5,4,B
599,5,4,5,5,R
600,5,5,1,1,L
601,5,5,1,2,L
602,5,5,1,3,L
603,5,5,1,4,L
604,5,5,1,5,L
605,5,5,2,1,L
606,5,5,2,2,L
607,5,5,2,3,L
608,5,5,2,4,L
609,5,5,2,5,L
610,5,5,3,1,L
611,5,5,3,2,L
612,5,5,3,3,L
614,5,5,3,5,L
616,5,5,4,2,L
617,5,5,4,3,L
618,5,5,4,4,L
619,5,5,4,5,L
620,5,5,5,1,L
621,5,5,5,2,L
622,5,5,5,3,L
623,5,5,5,4,L
624,5,5,5,5,B
